artist	track_count	mean_popularity	median_popularity	std_popularity	min_popularity	max_popularity
Foals	4	55.0	55.0	0.0	55	55
Jason Isbell and the 400 Unit	4	50.0	50.0	0.0	50	50
August Alsina	4	43.25	45.5	30.25	11	71
Kings of Leon	4	60.0	60.0	1.15	59	61
Chris Tomlin	4	43.0	43.0	0.0	43	43
Alton Ellis	4	42.5	42.5	0.58	42	43
Snoh Aalegra	4	48.5	48.5	6.35	43	54
Casting Crowns	4	43.0	43.0	0.0	43	43
Carrie Underwood	4	50.5	50.5	2.89	48	53
Calvin Harris	4	40.5	40.5	46.77	0	81
Slushii	4	47.5	53.5	17.94	22	61
Miguel	4	74.0	74.0	0.0	74	74
Breaking Benjamin	4	65.0	65.0	0.0	65	65
Moneybagg Yo	4	29.0	29.0	33.49	0	58
Bonobo	4	32.5	32.5	4.04	29	36
NEEDTOBREATHE	4	50.0	50.0	0.0	50	50
Vince Staples	4	45.5	43.0	5.0	43	53
NF	4	48.0	48.0	4.62	44	52
Big Sean	4	60.0	60.0	0.0	60	60
Nelly	4	52.0	52.0	0.0	52	52
Ben Howard	4	51.75	57.0	10.5	36	57
Shinedown	4	43.0	43.0	0.0	43	43
Beck	4	51.0	51.0	0.0	51	51
Beach House	4	48.0	48.0	3.46	45	51
Novo Amor	4	51.5	51.5	0.58	51	52
BANKS	4	65.0	65.0	0.0	65	65
Steve Miller Band	4	66.0	75.0	18.0	39	75
MercyMe	4	62.0	62.0	0.0	62	62
Curren$y	4	51.0	51.0	0.0	51	51
MARINA	4	55.0	55.0	0.0	55	55
Cody Johnson	4	45.75	47.0	4.72	39	50
Queens of the Stone Age	4	43.0	45.0	4.0	37	45
Dixie Chicks	4	60.75	62.0	2.5	57	62
Disturbed	4	58.0	58.0	4.62	54	62
Leeland	4	55.0	55.0	0.0	55	55
Kenny G	3	23.0	20.0	24.64	0	49
Lil Baby	3	68.0	68.0	0.0	68	68
Jeremy Camp	3	43.67	49.0	9.24	33	49
NOFX	3	32.0	33.0	8.54	23	40
Pearl Jam	3	58.0	58.0	0.0	58	58
T.I.	3	53.0	53.0	0.0	53	53
MY FIRST STORY	3	59.0	66.0	13.89	43	68
Riders In The Sky	3	26.33	25.0	24.03	3	51
NAV	3	58.0	58.0	0.0	58	58
Korn	3	51.0	51.0	0.0	51	51
Kodak Black	3	72.0	72.0	0.0	72	72
One Direction	3	63.0	73.0	17.32	43	73
Jacquees	3	54.0	54.0	0.0	54	54
PARTYNEXTDOOR	3	33.0	33.0	0.0	33	33
The Hit Crew Kids	3	40.33	42.0	19.55	20	59
21 Savage	3	74.0	74.0	0.0	74	74
Playboi Carti	3	67.0	67.0	0.0	67	67
Mustard Plug	3	26.0	17.0	31.48	0	61
Juice Music	3	28.67	20.0	15.01	20	46
Rae Sremmurd	3	78.0	78.0	0.0	78	78
Kacey Musgraves	3	42.0	42.0	0.0	42	42
The Holdup	3	47.0	61.0	25.12	18	62
Meghan Trainor	3	64.67	65.0	0.58	64	65
Jules Massenet	3	24.0	31.0	12.12	10	31
The Aggrolites	3	66.67	66.0	5.03	62	72
Tenacious D	3	60.0	60.0	0.0	60	60
Mick Jenkins	3	51.0	51.0	0.0	51	51
Run The Jewels	3	49.0	49.0	0.0	49	49
Jordan Rakei	3	72.0	72.0	0.0	72	72
Jonny Greenwood	3	25.0	25.0	0.0	25	25
Russ	3	71.0	71.0	0.0	71	71
Kathleen Madigan	3	32.67	26.0	16.07	21	51
Mike Stud	3	52.0	52.0	0.0	52	52
Susan Egan	3	37.33	43.0	33.86	1	68
Moby	3	35.33	27.0	17.1	24	55
Reykon	3	42.0	39.0	6.08	38	49
JID	3	63.0	63.0	0.0	63	63
J. Cole	3	65.0	65.0	0.0	65	65
Eric Clapton	3	19.67	16.0	6.35	16	27
Dustin O'Halloran	3	36.33	34.0	5.86	32	43
Tierra Whack	3	48.0	48.0	0.0	48	48
Denzel Curry	3	64.0	64.0	0.0	64	64
Chris Webby	3	53.0	53.0	0.0	53	53
Chase Rice	3	65.0	65.0	0.0	65	65
Tyler Bates	3	48.67	58.0	18.82	27	61
COIN	3	57.0	57.0	0.0	57	57
Broods	3	57.0	57.0	0.0	57	57
Bon Iver	3	59.0	59.0	0.0	59	59
VHS Collection	3	49.0	49.0	0.0	49	49
Weezer	3	54.0	54.0	0.0	54	54
Bethel Music	3	55.0	59.0	8.72	45	61
Beirut	3	62.0	62.0	0.0	62	62
Badflower	3	49.0	49.0	0.0	49	49
Wisin	3	55.0	63.0	13.86	39	63
BTS	3	52.67	50.0	11.24	43	65
Avicii	3	58.67	61.0	4.04	54	61
Aretha Franklin	3	53.0	53.0	0.0	53	53
YG	3	65.0	65.0	0.0	65	65
Alan Menken	3	33.0	37.0	6.93	25	37
Alan Jackson	3	43.0	43.0	23.0	20	66
A Perfect Circle	3	18.0	18.0	0.0	18	18
dvsn	3	53.0	53.0	0.0	53	53
311	3	36.0	30.0	14.93	25	53
2Pac	3	67.0	67.0	0.0	67	67
Three Days Grace	3	43.0	43.0	0.0	43	43
Rex Orange County	3	61.0	61.0	0.0	61	61
Hans Zimmer	3	32.0	28.0	9.64	25	43
Gioachino Rossini	3	8.67	7.0	6.66	3	16
H.E.R.	3	61.0	61.0	0.0	61	61
George Carlin	3	23.0	24.0	11.53	11	34
Nicki Minaj	2	43.0	43.0	0.0	43	43
Nightmares On Wax	2	54.0	54.0	0.0	54	54
Beats Antique	2	47.0	47.0	0.0	47	47
Bebe Rexha	2	70.0	70.0	0.0	70	70
Why Don't We	2	64.0	64.0	0.0	64	64
The Movement	2	36.5	36.5	9.19	30	43
The National	2	18.0	18.0	0.0	18	18
Big D and the Kids Table	2	37.5	37.5	24.75	20	55
Shoreline Mafia	2	54.0	54.0	0.0	54	54
Bob Dylan	2	46.0	46.0	0.0	46	46
Bonnie Raitt	2	40.0	40.0	0.0	40	40
Music For Little People Choir	2	0.5	0.5	0.71	0	1
Morcheeba	2	44.0	44.0	0.0	44	44
Bruno Mars	2	51.0	51.0	0.0	51	51
Brad Paisley	2	43.0	43.0	5.66	39	47
Brandy	2	51.0	51.0	0.0	51	51
Mitski	2	41.0	41.0	0.0	41	41
Miley Cyrus	2	48.0	48.0	0.0	48	48
Joey Bada$$	2	46.0	46.0	0.0	46	46
Michael W. Smith	2	54.5	54.5	13.44	45	64
Bruce Broughton	2	23.0	23.0	0.0	23	23
Joyner Lucas	2	53.0	53.0	0.0	53	53
Godsmack	2	66.0	66.0	0.0	66	66
Me First and the Gimme Gimmes	2	44.5	44.5	17.68	32	57
Troye Sivan	2	47.0	47.0	2.83	45	49
Matt Maher	2	34.5	34.5	20.51	20	49
Solange	2	49.0	49.0	0.0	49	49
Star Cast	2	37.5	37.5	6.36	33	42
John Mark McMillan	2	60.0	60.0	1.41	59	61
Gustavo Santaolalla	2	43.0	43.0	0.0	43	43
Jelly Roll	2	18.0	18.0	0.0	18	18
Norah Jones	2	67.0	67.0	0.0	67	67
The Killers	2	36.0	36.0	0.0	36	36
Reel Big Fish	2	43.5	43.5	26.16	25	62
Interpol	2	58.0	58.0	8.49	52	64
Jacques Offenbach	2	29.0	29.0	0.0	29	29
Randy Newman	2	16.0	16.0	7.07	11	21
Richard Pryor	2	17.0	17.0	1.41	16	18
Hopsin	2	33.0	33.0	0.0	33	33
A$AP Rocky	2	60.0	60.0	0.0	60	60
Zac Brown Band	2	55.0	55.0	0.0	55	55
Aimer	2	60.0	60.0	1.41	59	61
James Taylor	2	46.5	46.5	2.12	45	48
Preschool Kids	2	31.0	31.0	15.56	20	42
Post Malone	2	36.0	36.0	0.0	36	36
Portugal. The Man	2	46.0	46.0	0.0	46	46
Alexis y Fido	2	67.0	67.0	0.0	67	67
Alicia Keys	2	59.0	59.0	0.0	59	59
Phish	2	44.5	44.5	27.58	25	64
Xavier Omär	2	62.0	62.0	0.0	62	62
