Bob Marley & The Wailers	325
Bomb the Music Industry!	71
Boney James	52
Bon Iver	81
Bonnie Raitt	52
Brad Paisley	84
Brad Williams	69
Brandi Carlile	67
Brantley Gilbert	74
Breaking Benjamin	178
Brent Faiyaz	143
Brian Eno	111
Brian Posehn	77
Brian Regan	62
Britney Spears	133
Broken Bells	70
Brooks & Dunn	71
Bruce Broughton	94
Bruce Faulconer	131
Bruno Mars	70
Bruno Pelletier	127
Bryson Tiller	114
Buena Vista Social Club	69
Buju Banton	66
Bumpin Uglies	59
BUMP OF CHICKEN	65
Cage The Elephant	206
Calvin Harris	78
Capcom Sound Team	326
Caramelos De Cianuro	72
Cardi B	56
Carlitos Rossy	64
Carrie Underwood	136
Car Seat Headrest	67
Carter Burwell	80
Casting Crowns	189
Catfish and the Bottlemen	82
Cautious Clay	54
Chad Daniels	61
Chantal Goya	156
Charles Gounod	98
Charli XCX	61
Charlton Heston	69
Chase Rice	62
Childish Gambino	101
Children Songs Company	357
Chino & Nacho	52
Chris Brown	389
Chris Rock	73
Christian Finnegan	51
Christina Aguilera	86
Chris Tomlin	152
Christophe Beck	52
Christopher Titus	117
Chris Webby	57
Chris Young	73
Chuck Berry	74
City and Colour	58
Claude Debussy	59
Cliff Edwards	90
Cocteau Twins	69
Cody Johnson	92
Coheed and Cambria	69
Cole Swindell	68
Collie Buddz	55
Comedian Bob Marley	120
Craig Armstrong	55
Cultura Profética	91
Daddy Yankee	252
Daft Punk	128
Damian Marley	63
Dan Auerbach	52
Dan Cummins	69
Dane Cook	112
Daniel Lavoie	90
Daniel Pemberton	64
Danny Elfman	134
Dan Romer	56
Dan Zanes	78
Dario Marianelli	61
Darius Rucker	63
Dave Brubeck	62
David Bowie	63
David Crowder Band	58
David Guetta	84
Dead Kennedys	98
Dean Evenson	63
Dean Martin	71
Death Cab for Cutie	131
De La Ghetto	72
Demi Lovato	143
Denzel Curry	65
Desmond Dekker	74
Dierks Bentley	86
Dillon Francis	112
Dirty Heads	133
Dixie Chicks	54
DJ Khaled	111
DJ Nelson	57
DJ Shadow	56
DJ Snake	87
D.L. Hughley	52
Doja Cat	81
Dolly Parton	66
Don Moen	51
Donny Osmond	136
Don Omar	184
Dora The Explorer	75
Doug Benson	113
Doug Stanhope	78
Dr. Dog	87
Dread Mar I	78
Dr. John	82
Dustin Lynch	57
Dustin O'Halloran	79
Eagles Of Death Metal	53
Earl Sweatshirt	141
Eddie Griffin	56
Eddie Izzard	135
El Alfa	91
Electric Guest	71
Elevation Worship	141
Ella Fitzgerald	140
Ella Vos	55
Ellie Goulding	64
Emmanuel Moire	73
Ennio Morricone	159
Enzo Garcia	88
Eric Bellinger	144
Eric Church	109
Eric Clapton	104
Erik Satie	70
Erykah Badu	140
Etta James	123
Face To Face	80
Falcom Sound Team jdk	107
Fall Out Boy	84
Father John Misty	79
Fela Kuti	57
Felipe Esparza	79
Fetty Wap	51
Fifth Harmony	77
Five Finger Death Punch	160
Five Iron Frenzy	74
Flatbush Zombies	57
Fleet Foxes	77
Florence + The Machine	191
Flo Rida	70
Florida Georgia Line	141
Flux Pavilion	62
Flying Lotus	102
Foo Fighters	127
for KING & COUNTRY	143
Foster The People	96
Four Tet	78
Franco Escamilla	52
Frank Churchill	58
Frank Ocean	229
Freddie Gibbs	60
Frédéric Chopin	59
Gaetano Donizetti	219
Gary Clark Jr.	125
Gary Gulman	73
Gateway Worship	60
Gente De Zona	69
George Bruns	107
George Carlin	208
George Lopez	115
Georges Bizet	306
George Strait	142
G Herbo	65
Giacomo Puccini	574
Gioachino Rossini	333
Gipsy Kings	80
Giuseppe Verdi	632
Glass Animals	54
G. Love & Special Sauce	57
Granger Smith	53
Grateful Dead	62
Gregory Alan Isakov	75
Gregory Isaacs	55
Gucci Mane	132
Gustav Mahler	112
Gustavo Santaolalla	104
Hans Zimmer	550
Hap Palmer	68
Harold Budd	59
Harry Gregson-Williams	74
Héctor "El Father"	65
Henri Salvador	432
Henry Jackman	138
Hiatus Kaiyote	81
Hikaru Utada	114
Hillsong en Español	51
Hillsong UNITED	290
Hillsong Worship	278
Hillsong Young & Free	86
Hippo Campus	96
Hiroyuki Sawano	106
Hollywood Undead	146
Hot Chip	68
Howard Shore	467
Hunter Hayes	64
Ibrary's Children's Music & Stories	82
Idina Menzel	118
Idoles De La Musique	56
Imagine Dragons	71
In This Moment	57
Iron & Wine	63
Israel & New Breed	81
Ivy Queen	91
Jackie Kashian	52
Jack White	88
Jacques Offenbach	57
Jaden Smith	68
Jake Owen	59
J Alvarez	136
James Blake	87
James Horner	135
James Morrison	74
James Newton Howard	184
James Taylor	61
Janelle Monáe	136
Janet Jackson	77
Jason Aldean	113
Jason Derulo	124
Jason Isbell	64
Jason Isbell and the 400 Unit	62
Jazmine Sullivan	52
J Balvin	99
J. Cole	220
Jean Claude Corbel	84
Jean-Philippe Rameau	70
Jeff Foxworthy	100
Jelly Roll	87
Jennifer Lopez	90
Jeremy Camp	90
Jeremy Soule	111
Jesus Culture	136
Jhene Aiko	197
Jill Scott	56
Jim Gaffigan	146
Jimi Hendrix	123
Jimmy Cliff	114
Jim Norton	53
J.J. Cale	57
JJ Grey & Mofro	52
Jodi Benson	55
Joe Bonamassa	76
Joe Hisaishi	221
Joey Bada$$	59
Joey Montana	54
Jóhann Jóhannsson	193
Johan Söderqvist	55
John Barry	74
John Heffron	56
John Holt	51
John Legend	161
John Mark McMillan	59
John Mayer	102
Johnny Cash	95
John Paesano	57
John Pinette	65
John Powell	128
John Prine	77
John Williams	439
Jonas Brothers	85
Jon Bellion	75
Jon Hopkins	84
Jonny Greenwood	106
Jon Z	60
Jordan Rakei	66
Jorja Smith	62
Jory Boy	63
Josh Turner	58
Jowell & Randy	76
Joyner Lucas	55
Judy Kuhn	60
Juice Music	650
Jules Massenet	105
Julia Michaels	54
Julie Andrews	115
Junkie XL	74
Justin Bieber	88
Justin Hurwitz	200
Justin Moore	70
Justin Quiles	66
Justin Timberlake	123
Kacey Musgraves	119
Kali Uchis	95
Kanye West	188
Kari Jobe	96
Katherine Jenkins	69
Kathleen Madigan	77
Katt Williams	120
Katy Perry	64
K CAMP	79
Keith Urban	66
Kelly Clarkson	117
Kelsea Ballerini	71
Kendrick Lamar	175
Kenny Chesney	128
Kenny G	73
Kenny Wayne Shepherd	58
Kensuke Ushio	107
Kevin Gates	228
Kevin Hart	76
Kevin Penkin	123
Kevin Roldan	56
Key Glock	56
Keyshia Cole	73
khai dreams	56
Kiana Ledé	80
Kid Cudi	125
Kid Ink	115
Kid Rock	81
Kimbo Children's Music	903
Kings of Leon	100
Kip Moore	67
Kodak Black	172
Kota the Friend	81
Kristin Chenoweth	103
Kyle Dixon & Michael Stein	95
Kyle Kinane	52
Lady Antebellum	62
Lady Gaga	110
Lake Street Dive	66
Lana Del Rey	82
Langhorne Slim	61
Larry The Cable Guy	66
LCD Soundsystem	132
Lea Salonga	99
Led Zeppelin	76
Lee Brice	53
Lee "Scratch" Perry	65
Leftöver Crack	69
Leigh Harline	72
Léo Delibes	125
Leon Bridges	81
Leopold Stokowski	68
Less Than Jake	168
Lewis Black	157
Lil Baby	179
Lil Durk	83
Lil Peep	56
Lil Pump	54
Lil Uzi Vert	93
Lil Wayne	181
Lil Yachty	87
Ling tosite sigure	65
Linkin Park	200
Liquid Stranger	70
Little Dragon	88
Little Feat	59
Little Mix	116
Liz Callaway	126
Local Natives	71
Long Beach Dub Allstars	64
Lord Huron	90
Lorne Balfe	92
Los Auténticos Decadentes	57
Los Cafres	132
Los Caligaris	56
Los Enanitos Verdes	74
Los Fabulosos Cadillacs	73
Los Pericos	70
Louis Armstrong	59
Luciano Pavarotti	89
Ludwig Goransson	65
Luke Bryan	104
Luther Vandross	56
Lynyrd Skynyrd	109
Mac Ayres	67
Machine Gun Kelly	99
Mac Miller	243
Mad Caddies	89
Majid Jordan	115
Mandolin Orange	60
Manu Chao	69
MAN WITH A MISSION	78
Marc E. Bassy	81
Marc Maron	91
Maria Bamford	100
Mariah Carey	140
Marilyn Manson	71
Mark Mothersbaugh	56
Marvin Gaye	58
Mary J. Blige	100
Masakatsu Takagi	76
Masked Intruder	51
Massive Attack	85
Matt Braunger	64
Matt Maeson	55
Matt Maher	93
Matt Redman	51
MAXIMUM THE HORMONE	55
Max Richter	348
Meek Mill	143
Me First and the Gimme Gimmes	107
Meghan Trainor	102
Michael Franti & Spearhead	89
Michael Giacchino	243
Michael W. Smith	108
Mick Jenkins	53
Mike Birbiglia	53
Mike Stud	78
Miles Davis	80
Miley Cyrus	78
Miranda Lambert	79
Modest Mouse	96
Mogul Music Inc.	113
