genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Soul,Stevie Wonder,Love's In Need Of Love Today,2qRpAQoH3aaDTppBN7j0JL,50,0.719,0.631,425867,0.348,1.14e-06,F,0.132,-14.169,Minor,0.0292,98.7,4/4,0.444
Alternative,Florence + The Machine,South London Forever,3MZ7TxuXNnwYXm2KZGap5g,56,0.613,0.676,262680,0.577,0.0013,A,0.195,-7.82,Minor,0.0274,107,4/4,0.49
Anime,Falcom Sound Team jdk,Ashita E No Kodou,0Dsq2zKL5uw3CI2DPdb7dT,20,0.11,0.484,294080,0.887,0,D#,0.0733,-4.98,Major,0.0579,172.989,4/4,0.754
Indie,Chris Webby,Long Way,5PIf7OdUBskJC5zZNBtIg0,53,0.0167,0.44,329131,0.76,2.84e-06,B,0.127,-5.872,Minor,0.359,77.741,3/4,0.0976
Rock,Eli Young Band,Crazy Girl,1nVLAEzhBXMJLR5zAl90Nl,67,0.0006,0.358,200707,0.708,0.00498,E,0.281,-3.736,Major,0.0315,150.966,3/4,0.227
Reggaeton,Wisin & Yandel,Tu Cuerpo Me Llama,2IggsLAwzKzvRC16iE0VdR,39,0.0802,0.756,184907,0.715,0,B,0.0397,-5.924,Minor,0.194,167.906,4/4,0.776
Anime,大原ゆい子,ゼロセンチメートル -Instrumental-,3gJHu9H0lKqee14K6HRhiO,2,0.000415,0.485,246600,0.844,0.793,C#,0.0699,-5.777,Major,0.0331,154.024,4/4,0.673
Children's Music,Radha,Grandpa's Farewell,293T2b5OWmJnqHllhp2GHd,0,0.569,0.406,130947,0.228,0,C,0.248,-9.224,Major,0.0363,179.613,3/4,0.725
Comedy,Greg Warren,The Advicer,0S9JBkrOxXgG1tuuFDyc2Q,11,0.911,0.524,197690,0.554,0,A#,0.869,-11.672,Major,0.943,73.971,4/4,0.631
Country,Kenny Chesney,Marley,54rOTrMBARFmkK1d40LjQL,34,0.824,0.647,287733,0.328,0.00118,F,0.114,-11.851,Major,0.0281,142.017,4/4,0.444
Reggae,Wookiefoot,Monkey See Monkey Do,6YLDOtDJh5TC6kqOYU3vNb,25,0.343,0.87,199467,0.8,0,G,0.891,-4.463,Major,0.0922,95.009,4/4,0.86
Children’s Music,System Of A Down,Kill Rock 'n Roll - Explicit Album Version,28TReO2Mxk9Q3GA4K98YSz,60,0.0168,0.288,147960,0.987,0,E,0.264,-1.359,Major,0.223,184.662,4/4,0.336
Dance,Pitbull,Can't Have,5vNulf3Z6xUrBzGy5hcFgM,50,0.0276,0.623,214905,0.85,3.47e-06,G#,0.148,-2.605,Minor,0.108,105.033,4/4,0.658
Classical,Trans-Siberian Orchestra,Faith Noel,45oqUjca7b1CUUtKEqtrEq,24,0.00244,0.19,272320,0.622,0.853,C,0.235,-3.663,Major,0.0369,110.152,4/4,0.0723
Dance,The Black Eyed Peas,Just Can’t Get Enough,3JA9Jsuxr4xgHXEawAdCp4,69,0.187,0.483,219427,0.648,0,C,0.0812,-8.651,Minor,0.327,93.939,4/4,0.242
Comedy,Stephen Lynch,Down to the Old Pub Instead,6S5alT25yw0YEmZunDbe1q,37,0.399,0.428,193253,0.647,0,G,0.84,-6.054,Major,0.314,47.664,4/4,0.644
Reggae,Freddie McGregor,Gatepass To Your Heart,4GwDjSUH2JPirNuLRMzrQK,30,0.207,0.719,222173,0.563,0,D,0.0831,-6.634,Major,0.243,83.287,4/4,0.719
Pop,ZAYN,Entertainer,6kjKRa91zikS6ZOL2Rt1QF,77,0.475,0.696,202600,0.568,2.44e-05,F,0.0922,-8.017,Major,0.0369,153.93,4/4,0.504
Electronic,David August,Blossom,5yPhSWvZ5KdHhz8R7z7oyI,45,0.0808,0.753,299525,0.329,0.838,A,0.108,-10.5,Minor,0.0411,111.982,4/4,0.486
Folk,Sufjan Stevens,Lonely Man of Winter,3s1ajekHdEht2t8thsmFJT,50,0.944,0.497,191267,0.228,0,C,0.114,-12.496,Major,0.0329,114.715,4/4,0.159
Folk,Angus & Julia Stone,You're The One That I Want,0rONIAKyhhXXHxPfyc9dGf,46,0.868,0.601,192000,0.0682,0,F,0.104,-13.474,Minor,0.0382,79.965,4/4,0.344
Jazz,Dinah Washington,I Don't Hurt Anymore,7FpiNXo1KPihSBCTjZhWH8,41,0.761,0.595,195000,0.271,3.84e-05,C,0.111,-11.391,Major,0.0372,78.57,4/4,0.514
Reggaeton,Ronald Rip,Muriendo de Ganas,6iGKCJP4TDJoKFuQnZpbRx,23,0.0329,0.824,181067,0.839,0,G#,0.11,-6.086,Major,0.0639,99.98,4/4,0.42
Classical,Orden Ogan,The Things We Believe In,6G1r9YfIWGGnhg240AU1o1,50,0.000615,0.484,306047,0.941,9.06e-05,G,0.276,-4.594,Minor,0.0753,122.012,4/4,0.2
Opera,Giacomo Puccini,Tosca / Act 1: Gente là dentro...Mario! Mario! Mario!,3EV48AJECeiHSvnq34Ggny,10,0.969,0.258,872227,0.155,5.88e-05,G#,0.36,-16.706,Major,0.0535,86.165,4/4,0.0735
Comedy,Dana Gould,The Old Guy Boner Drought,02FKf5k61EOM3NiNsLm2Sy,10,0.777,0.723,84067,0.603,0,C#,0.706,-11.49,Major,0.944,108.471,4/4,0.574
Soul,Vindata,Favor,6YD9XQ6woFtacq7kPCfEGL,52,0.0577,0.617,222857,0.644,2.06e-05,C,0.0906,-6.681,Major,0.0881,140.051,4/4,0.182
Hip-Hop,Playboi Carti,Poke It Out (with Nicki Minaj),2rPSFKzGeqUWwfcCFVkkq3,67,0.097,0.894,269813,0.59,9.06e-06,A,0.329,-5.716,Major,0.221,147.009,4/4,0.575
Ska,Suburban Legends,Colors of the Wind,08DTWJlrP4GayCQYgRa4ez,32,0.0387,0.488,165187,0.897,0,C,0.0943,-5.559,Major,0.124,161.987,4/4,0.838
Rap,Nick Jonas,Levels,6pf9datdAtxQj4EU8UYHSx,61,0.0488,0.432,167693,0.656,0,F,0.256,-4.669,Minor,0.428,199.232,4/4,0.66
