genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Reggae,Kabaka Pyramid,Natural Woman,3clOgcj6RVzIiklalFLmTN,32,0.165,0.642,212755,0.721,0,F,0.313,-6.15,Major,0.21,84.351,4/4,0.623
Rap,Quinn XCII,Life Must Go On,3vmsnZF4KPLjbDgZEqwTdL,67,0.126,0.715,185587,0.551,0,A#,0.314,-6.486,Major,0.0961,90.924,4/4,0.528
Movie,Cerise Calixte,"Je voudrais - Extrait de ""Raiponce""",7lYZNPoCyScjEKzWAtEQSF,32,0.0184,0.573,175693,0.79,1.86e-06,A#,0.0655,-3.917,Major,0.141,169.999,4/4,0.928
World,Kari Jobe,I'm Singing,5MWGAqv6aP5ZudvvvR5c1f,31,0.069,0.442,228387,0.565,0,F#,0.0924,-6.786,Major,0.0278,84.88,4/4,0.245
Blues,Otis Clay,Trying to Live My Life Without You,3j38ZAHmqcjP0v6ouxGgVA,32,0.681,0.836,173227,0.63,0.00175,D#,0.113,-7.018,Major,0.0371,106.302,4/4,0.969
Children’s Music,Can't Swim,My Queen,6K7R3QbTfDpRd7QMRyqTET,46,4.43e-05,0.423,184600,0.904,0,E,0.282,-6.07,Major,0.062,76.564,4/4,0.506
Reggae,The Beautiful Girls,La Mar (The Ocean),00qaaEPNuzYF15E34KnoLm,24,0.793,0.825,237865,0.336,0.0123,G#,0.111,-9.689,Major,0.0556,92.205,4/4,0.363
Ska,Dwarves,Devil's Level,380KLAxFiUFu7zXjCV5qiC,24,0.000225,0.339,108424,0.988,1.08e-05,D,0.148,-2.489,Major,0.186,104.338,4/4,0.11
Children’s Music,Crowder,Crushing Snakes,56TINiS102GijSdAmVvv8m,47,0.198,0.343,301080,0.689,0,E,0.0869,-6.221,Minor,0.0416,145.359,4/4,0.124
World,36,Orphans of the Sky,3wwxIAfuJWjxgzgrQIjARs,48,0.908,0.172,412891,0.148,0.763,A#,0.0834,-18.667,Major,0.0394,123.948,3/4,0.038
Hip-Hop,Future,Outta Time,0AkKwgg6rD4p7EpDlNpSz2,51,0.00597,0.75,168607,0.546,3.18e-05,F#,0.377,-6.951,Minor,0.384,75.443,4/4,0.438
Blues,The Doobie Brothers,What a Fool Believes,2yBVeksU2EtrPJbTu4ZslK,66,0.284,0.758,223867,0.378,0,G#,0.049,-15.308,Minor,0.0449,120.736,4/4,0.985
Reggaeton,Reykon,El Error (feat. Zion & Lennox) - Remix,4ODirOUDqNg3lQQLxdq3Jc,49,0.168,0.779,232213,0.881,0,A,0.377,-3.362,Minor,0.0554,92.02,4/4,0.659
Hip-Hop,21 Savage,No Heart,4gmmRb6bZJffOOiww1JGTO,74,0.136,0.906,235040,0.444,6.44e-05,E,0.173,-8.692,Minor,0.384,140.063,4/4,0.678
Pop,The Fray,Over My Head (Cable Car),1N62wozuHCvczCkY4QidpP,71,0.022,0.592,236267,0.729,0,G#,0.0653,-4.156,Major,0.0448,116.03,4/4,0.709
Reggae,Sublime With Rome,Promise Land Dub,2rx6ljzVhHd4QKFlscJflO,35,0.0125,0.623,326774,0.758,0.0213,A#,0.0428,-6.771,Minor,0.0476,60.522,4/4,0.621
R&B,Tove Lo,hey you got drugs?,73kadnv7SduzhApfRUv5C0,58,0.301,0.625,258033,0.706,0,A,0.0735,-4.604,Major,0.0326,123.019,4/4,0.273
Jazz,El Gran Combo De Puerto Rico,Mujer Celosa,6RzENC5n3Mm1L2Wx2t9r0q,39,0.726,0.801,269240,0.629,0.000387,A,0.343,-5.51,Minor,0.0539,86.069,4/4,0.873
Dance,Underworld,Born Slippy (Nuxx),7xQYVjs4wZNdCwO0EeAWMC,65,0.00106,0.576,456480,0.953,0.49,A#,0.474,-8.968,Major,0.0362,140.042,4/4,0.303
Children's Music,The Countdown Kids,Yesterday,6giSyC08ojW92IeaAidwx4,0,0.757,0.307,165373,0.239,0,C,0.216,-7.979,Major,0.0279,144.252,4/4,0.339
Reggae,The Holdup,Demons,6pnLvTo69AnXN6583bE8Iq,18,0.0141,0.604,307413,0.404,2.05e-05,A,0.107,-13.298,Major,0.0373,150.04,4/4,0.261
Rap,Lil Wayne,A Milli,6ScJMrlpiLfZUGtWp4QIVt,75,0.0527,0.679,221840,0.684,0.000895,F#,0.177,-8.559,Major,0.278,151.748,4/4,0.755
Indie,Sharon Van Etten,Hands,2ts5XuhJHVsK778nkPU40D,53,0.000932,0.418,248720,0.569,0.795,C#,0.185,-7.253,Minor,0.0364,144.078,4/4,0.109
Indie,Blitzen Trapper,Furr,7yLfnmaMV6Hq0wuPPpC94i,60,0.475,0.571,247507,0.518,0,D,0.131,-9.57,Major,0.0523,91.725,4/4,0.495
Hip-Hop,Baka Not Nice,Live Up to My Name,61mnlyQlnPuq1GEX0LxIWh,64,0.0575,0.943,180748,0.495,0,F#,0.0952,-5.964,Minor,0.18,129.971,4/4,0.573
Opera,Christophe Rousset,Quatuor No. 5 in A Major: IV. Modéré,4SPWQVhPdhCM30j6NFfIvo,14,0.885,0.451,219707,0.182,0,G#,0.0957,-17.607,Major,0.0367,106.952,4/4,0.422
Soul,Jeff Floyd,Lock My Door,4u6JFQa45iIYPy5l8DK2xc,30,0.258,0.718,353547,0.819,1.35e-06,A#,0.168,-3.364,Major,0.0356,97.036,4/4,0.929
Country,Chuck Wicks,Stealing Cinderella,0Pvbr31U9bjdvUUNGNFnQJ,50,0.439,0.512,242733,0.396,2.43e-05,G#,0.117,-8.729,Major,0.0297,139.031,4/4,0.281
Hip-Hop,Eminem,Like Toy Soldiers,6CN3e26iQSj1N5lomh0mfO,63,0.0227,0.671,296880,0.755,0.000529,C#,0.107,-3.439,Minor,0.268,81.853,4/4,0.387
Soul,Jill Scott,The Way,49aUxrufliNDGj7MTm7pNU,49,0.0244,0.725,255733,0.41,0.00891,C#,0.11,-9.849,Major,0.0317,140.394,4/4,0.436
Pop,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,75,0.0106,0.669,237547,0.832,0,C,0.0968,-5.72,Major,0.0682,113.035,4/4,0.7
Soul,Dharmasoul,Love Again,3OKBGV9o5uVZ5Z8BZUkznb,40,0.572,0.635,223835,0.405,0.00767,A,0.444,-8.682,Major,0.0407,137.67,4/4,0.525
Anime,Ryuichi Sakamoto,The Revenant Main Theme Atmospheric,2VU7jOk5JeWWFAUiTIRfF7,25,0.925,0.172,170386,0.0647,0.715,A,0.11,-20.245,Minor,0.0332,92.375,4/4,0.038
Blues,Taj Mahal,I Ain't Gonna Let Nobody Steal My Jellyroll,3eD9jZjv0QAUmwVqCe6tCt,25,0.45,0.717,193200,0.473,0.000143,D,0.116,-11.872,Major,0.0469,97.582,4/4,0.905
R&B,Mariah Carey,The Distance (feat. Ty Dolla $ign),5TBvzAlyJ3CHlq7wMqpLhW,58,0.07,0.701,207587,0.691,0,A,0.844,-5.937,Major,0.0808,131.843,4/4,0.587
