Con Calma	Daddy Yankee	98
Fine China	Future	85
Otra Noche en Miami	Bad Bunny	81
This Is What You Came For	Calvin Harris	81
Woke Up Late (feat. Hailee Steinfeld)	Drax Project	79
Black Beatles	Rae Sremmurd	78
There You Are	ZAYN	78
Entertainer	ZAYN	77
Night Shift	Jon Pardi	76
Timber	Pitbull	76
