popularity	outlier	1	-2.30	Goodbye Song
popularity	outlier	1	-2.30	I'll Be Home for Christmas
popularity	outlier	1	-2.30	Viens !
popularity	outlier	1	-2.30	You Can't Say I Didn't Try
tempo	outlier	47.66	-2.30	Down to the Old Pub Instead
popularity	outlier	0	-2.35	Amadis: Bois épais (Live)
popularity	outlier	0	-2.35	April
popularity	outlier	0	-2.35	Big City
popularity	outlier	0	-2.35	Christmas Morning at Clancey's
popularity	outlier	0	-2.35	Come in from the Rain
popularity	outlier	0	-2.35	Das Lied von der Erde: II. Der Einsame im Herbst
popularity	outlier	0	-2.35	Giant (with Rag'n'Bone Man) - Weiss Remix
popularity	outlier	0	-2.35	Grandpa's Farewell
popularity	outlier	0	-2.35	Hari Om(Shlokam)
popularity	outlier	0	-2.35	In Vain
popularity	outlier	0	-2.35	Le jour où
popularity	outlier	0	-2.35	Leaf by Leaf the Roses Fall
popularity	outlier	0	-2.35	Loch Lomond
popularity	outlier	0	-2.35	Outland One - Instrumental
popularity	outlier	0	-2.35	Siter Hawar Laglo
popularity	outlier	0	-2.35	The Hokey Pokey
popularity	outlier	0	-2.35	The Muppets Show Closing Theme
popularity	outlier	0	-2.35	The Spider and the Fly
popularity	outlier	0	-2.35	The Stag Party
popularity	outlier	0	-2.35	Tour en Diagonale: Cleopha
popularity	outlier	0	-2.35	Un cri de femme
popularity	outlier	0	-2.35	While Shepherds Watched Their Flocks / While By My Sheep
popularity	outlier	0	-2.35	Yesterday
