Sampha                        	     1	   49.00	   49.00	   49.00
Santigold                     	     1	   44.00	   44.00	   44.00
Scorpions                     	     1	   60.00	   60.00	   60.00
SiR                           	     1	   53.00	   53.00	   53.00
Slayer                        	     1	   63.00	   63.00	   63.00
Smokepurpp                    	     1	   63.00	   63.00	   63.00
Snails                        	     1	   46.00	   46.00	   46.00
Snakehips                     	     1	   72.00	   72.00	   72.00
Solange                       	     1	   49.00	   49.00	   49.00
Sports                        	     1	   43.00	   43.00	   43.00
Sublime                       	     1	   46.00	   46.00	   46.00
Thrice                        	     1	   45.00	   45.00	   45.00
T.I.                          	     1	   53.00	   53.00	   53.00
Timeflies                     	     1	   58.00	   58.00	   58.00
TobyMac                       	     1	   62.00	   62.00	   62.00
Traffic                       	     1	   62.00	   62.00	   62.00
Transviolet                   	     1	   49.00	   49.00	   49.00
Turnover                      	     1	   47.00	   47.00	   47.00
Tycho                         	     1	   48.00	   48.00	   48.00
Underworld                    	     1	   65.00	   65.00	   65.00
U-Roy                         	     1	   41.00	   41.00	   41.00
Vindata                       	     1	   52.00	   52.00	   52.00
Warrant                       	     1	   67.00	   67.00	   67.00
Weezer                        	     1	   54.00	   54.00	   54.00
Wet                           	     1	   54.00	   54.00	   54.00
Whitney                       	     1	   50.00	   50.00	   50.00
Wisin                         	     1	   63.00	   63.00	   63.00
Xscape                        	     1	   48.00	   48.00	   48.00
YG                            	     1	   65.00	   65.00	   65.00
21 Savage                     	     1	   74.00	   74.00	   74.00
A$AP Rocky                    	     1	   60.00	   60.00	   60.00
A Boogie Wit da Hoodie        	     1	   71.00	   71.00	   71.00
Adam Calhoun                  	     1	   45.00	   45.00	   45.00
Alabama Shakes                	     1	   57.00	   57.00	   57.00
Ale Mendoza                   	     1	   46.00	   46.00	   46.00
Alexi Murdoch                 	     1	   50.00	   50.00	   50.00
Alexis y Fido                 	     1	   67.00	   67.00	   67.00
Alice Cooper                  	     1	   53.00	   53.00	   53.00
Alton Ellis                   	     2	   42.50	   42.00	   43.00
Anderson East                 	     1	   49.00	   49.00	   49.00
Andrew Belle                  	     1	   65.00	   65.00	   65.00
Andy Kong                     	     1	   49.00	   49.00	   49.00
Andy Williams                 	     1	   68.00	   68.00	   68.00
Angus & Julia Stone           	     1	   46.00	   46.00	   46.00
Anna Of The North             	     1	   56.00	   56.00	   56.00
Annie Lennox                  	     1	   59.00	   59.00	   59.00
Anthem Lights                 	     1	   47.00	   47.00	   47.00
Aretha Franklin               	     1	   53.00	   53.00	   53.00
Armand Amar                   	     1	   41.00	   41.00	   41.00
Armen Miran                   	     1	   53.00	   53.00	   53.00
A.R. Rahman                   	     1	   55.00	   55.00	   55.00
