Hurtin' Me	Stefflon Don	203.712
It's the Most Wonderful Time of the Year	Andy Williams	202.082
Naughty Girl	Beyoncé	200.053
Cain	EXES	199.79
This Is The Thing	Fink	199.578
Levels	Nick Jonas	199.232
Here Comes Treble	The Flatliners	197.895
"sometimes you meet the right people at the wrong times"	Can't Swim	197.883
El Chisme (feat. Jonathan Moly ) - Salsa Remix	Reykon	195.022
Soul Mate	No Use For A Name	189.049
